_type,evt_block_time,evt_index,index,start,place_in_line,amount,price_per_pod,filled_beans,_from,_to,weather,yield_to_maturity,amount_classification
pod-listing-filled,2022-02-13T03:15:09+00:00,490,36363776.333104,0,13524281.479787,3845.038436,0.38,1461.11460568,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-02-16T09:53:40+00:00,134,27611610.53843,0,4670283.973664,1000,0.59,590.00,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-02-16T09:54:06+00:00,285,36367621.37154,0,13426294.806774,1000,0.38,380.00,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-order-filled,2022-02-16T18:31:50+00:00,257,32955503.192184,0,9997937.54451,1069.723017,0.25,267.43075425,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,15.5500000000000000,3.8875000000000000,"< 10,000 pods"
pod-order-filled,2022-02-16T18:31:50+00:00,257,32955503.192184,0,9997937.54451,1069.723017,0.25,267.43075425,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,15.5500000000000000,3.8875000000000000,"< 10,000 pods"
pod-order-filled,2022-02-16T18:31:50+00:00,257,32955503.192184,0,9997937.54451,1069.723017,0.25,267.43075425,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,15.5500000000000000,3.8875000000000000,"< 10,000 pods"
pod-order-filled,2022-02-16T18:32:30+00:00,355,32537929.648192,252.57226,9580616.572778,345.368185,0.25,86.34204625,\x36998db3f9d958f0ebaef7b0b6bf11f3441b216f,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,15.1000000000000000,3.7750000000000000,"< 10,000 pods"
pod-listing-filled,2022-02-16T18:36:45+00:00,120,131580722.49338,0,108623156.845706,4716.970693,0.075,353.772801975,\x57b649e1e06fb90f4b3f04549a74619d6f56802e,,23.8499999992846481,1.7887499999463486,"< 10,000 pods"
pod-listing-filled,2022-02-16T18:44:29+00:00,408,131585439.464073,0,108627873.816399,18433.333333,0.075,1382.499999975,\x57b649e1e06fb90f4b3f04549a74619d6f56802e,,,,"< 25,000 pods"
pod-listing-filled,2022-02-16T19:35:00+00:00,185,131603872.797406,0,108642260.253477,42647.602248,0.075,3198.570168600,\x57b649e1e06fb90f4b3f04549a74619d6f56802e,,,,"< 50,000 pods"
pod-listing-filled,2022-02-17T00:00:02+00:00,362,36368621.37154,0,13399069.42672,8711.204228,0.38,3310.25760664,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-02-17T09:09:04+00:00,133,36377332.575768,0,13407780.630948,1087.2258,0.38,413.145804,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-02-18T03:05:40+00:00,140,26012876.542778,0,3043326.397007,18.15396,0.8,14.523168,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,14.2399999895635781,11.3919999916508623,"< 10,000 pods"
